电影名称,评分,评价人数,上映年份,电影类型,导演/主演,剧情简介
肖申克的救赎,9.7,3239480,1994,"犯罪, 剧情",弗兰克·德拉邦特 Frank Darabont / 蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。
霸王别姬,9.6,2390803,1993,"剧情, 爱情, 同性",陈凯歌 Kaige Chen / 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。
泰坦尼克号,9.5,2461313,1997,"剧情, 爱情, 灾难",詹姆斯·卡梅隆 James Cameron / 莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。
阿甘正传,9.5,2400033,1994,"剧情, 爱情",罗伯特·泽米吉斯 Robert Zemeckis / 汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。
千与千寻,9.4,2501511,2001,"剧情, 动画, 奇幻",宫崎骏 Hayao Miyazaki / 柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。
美丽人生,9.5,1463141,1997,"剧情, 喜剧, 爱情, 战争",罗伯托·贝尼尼 Roberto Benigni / 罗伯托·贝尼尼 Roberto Beni...,最美的谎言。
星际穿越,9.4,2141583,2014,"剧情, 科幻, 冒险",克里斯托弗·诺兰 Christopher Nolan / 马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。
这个杀手不太冷,9.4,2524323,1994,"剧情, 动作, 犯罪",吕克·贝松 Luc Besson / 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。
盗梦空间,9.4,2294814,2010,"剧情, 科幻, 悬疑, 冒险",克里斯托弗·诺兰 Christopher Nolan / 莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。
楚门的世界,9.4,1984158,1998,"剧情, 科幻",彼得·威尔 Peter Weir / 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,9.5,1232821,1993,"剧情, 历史, 战争",史蒂文·斯皮尔伯格 Steven Spielberg / 连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。
忠犬八公的故事,9.4,1525766,2009,剧情,莱塞·霍尔斯道姆 Lasse Hallström / 理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。
海上钢琴师,9.3,1856954,1998,"剧情, 音乐",朱塞佩·托纳多雷 Giuseppe Tornatore / 蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
疯狂动物城,9.3,2269459,2016,"喜剧, 动画, 冒险",拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore / 金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
三傻大闹宝莱坞,9.2,2052035,2009,"剧情, 喜剧, 爱情, 歌舞",拉库马·希拉尼 Rajkumar Hirani / 阿米尔·汗 Aamir Khan / 卡...,英俊版憨豆，高情商版谢耳朵。
机器人总动员,9.3,1468978,2008,"科幻, 动画, 冒险",安德鲁·斯坦顿 Andrew Stanton / 本·贝尔特 Ben Burtt / 艾丽...,小瓦力，大人生。
放牛班的春天,9.3,1454812,2004,"剧情, 音乐",克里斯托夫·巴拉蒂 Christophe Barratier / 让-巴蒂斯特·莫尼...,天籁一般的童声，是最接近上帝的存在。
无间道,9.3,1541701,2002,"剧情, 犯罪, 惊悚",刘伟强 / 麦兆辉 / 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,香港电影史上永不过时的杰作。
控方证人,9.6,715906,1957,"剧情, 犯罪, 悬疑, 惊悚",比利·怀尔德 Billy Wilder / 泰隆·鲍华 Tyrone Power / 玛琳·...,比利·怀德满分作品。
大话西游之大圣娶亲,9.2,1689594,1995,"喜剧, 爱情, 奇幻, 古装",刘镇伟 Jeffrey Lau / 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,一生所爱。
熔炉,9.3,1024911,2011,剧情,黄东赫 Dong-hyuk Hwang / 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
寻梦环游记,9.1,1950218,2017,"喜剧, 动画, 奇幻, 音乐",李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina / ...,死亡不是真的逝去，遗忘才是永恒的消亡。
触不可及,9.3,1275948,2011,"剧情, 喜剧",,满满温情的高雅喜剧。
教父,9.3,1090186,1972,"剧情, 犯罪",弗朗西斯·福特·科波拉 Francis Ford Coppola / 马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,9.1,1667848,2006,"剧情, 传记, 家庭",加布里尔·穆奇诺 Gabriele Muccino / 威尔·史密斯 Will Smith ...,平民励志片。
末代皇帝,9.3,1013645,1987,"剧情, 传记, 历史",贝纳尔多·贝托鲁奇 Bernardo Bertolucci / 尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
哈利·波特与魔法石,9.2,1398258,2001,"奇幻, 冒险",Chris Columbus / Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。
龙猫,9.2,1394951,1988,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。
活着,9.3,956782,1994,"剧情, 历史, 家庭",张艺谋 Yimou Zhang / 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。
怦然心动,9.1,2026498,2010,"剧情, 喜剧, 爱情",罗伯·莱纳 Rob Reiner / 玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。
蝙蝠侠：黑暗骑士,9.2,1178488,2008,"剧情, 动作, 科幻, 犯罪, 惊悚",克里斯托弗·诺兰 Christopher Nolan / 克里斯蒂安·贝尔 Christ...,无尽的黑暗。
